"volatile.acidity","chlorides","total.sulfur.dioxide","sulphates","alcohol","quality"
1.035,0.073,54,0.49,9.9,5
0.78,0.093,19,0.47,10,5
0.49,0.077,37,0.51,10.5,5
0.545,0.068,35,0.61,11.6,6
0.31,0.062,33,0.66,10,6
1.025,0.08,84,0.57,10.1,5
0.565,0.093,112,0.61,9.5,5
0.69,0.084,33,0.45,9.4,5
0.43,0.075,48,0.46,9.4,5
0.74,0.078,77,0.51,9.8,5
0.49,0.069,34,0.48,9.2,6
0.43,0.075,48,0.46,9.4,5
0.46,0.079,49,0.57,10,5
0.56,0.082,22,0.44,9.6,5
0.66,0.086,45,0.54,9.5,5
0.56,0.082,22,0.44,9.6,5
0.48,0.094,106,0.53,9.2,5
0.42,0.084,48,0.59,10,5
0.31,0.053,127,1.62,9.5,5
1.115,0.086,12,0.6,11.2,4
0.66,0.077,13,0.55,10.4,5
0.72,0.084,49,0.72,11.1,6
0.57,0.067,11,0.68,9.5,5
0.57,0.067,11,0.68,9.5,5
0.865,0.071,58,0.49,12.7,6
0.55,0.387,37,0.67,9.6,5
0.875,0.088,14,0.52,11.5,5
0.835,0.092,19,0.47,9.6,5
0.45,0.082,72,0.6,9.5,5
0.56,0.075,39,0.62,9.3,5
0.965,0.112,22,0.5,9.5,5
0.965,0.112,22,0.5,9.5,5
0.59,0.093,58,0.65,9.3,6
0.46,0.092,104,0.56,9.2,5
0.69,0.088,38,0.6,9.3,5
0.76,0.075,16,0.68,11.5,6
0.53,0.078,139,0.57,9.5,5
0.615,0.065,18,0.65,9.2,5
0.41,0.096,101,0.53,10,5
0.39,0.095,101,0.51,9.5,5
0.51,0.07,28,0.73,9.5,6
0.34,0.08,57,0.47,9,6
0.33,0.083,68,0.48,9.4,5
0.5,0.071,31,0.72,9.6,6
0.51,0.07,28,0.73,9.5,6
0.65,0.089,40,0.55,9.5,5
0.65,0.089,40,0.55,9.5,5
0.54,0.097,66,0.61,9.4,5
0.65,0.089,40,0.55,9.5,5
0.48,0.415,32,1.06,9.1,6
0.91,0.058,47,0.43,10.7,6
0.98,0.057,33,0.46,11.2,6
0.87,0.084,31,0.5,9.8,5
0.87,0.084,31,0.5,9.8,5
0.42,0.092,88,0.52,9.2,5
0.58,0.075,104,0.57,9.7,5
0.655,0.096,35,0.42,9.6,5
0.7,0.069,19,0.53,10,6
0.655,0.096,35,0.42,9.6,5
0.68,0.093,44,0.55,9.5,6
0.67,0.091,48,0.54,9.5,6
0.59,0.089,74,0.54,9.4,5
0.6,0.103,98,0.62,9.5,5
0.59,0.082,94,0.53,9.7,6
0.72,0.076,32,0.54,9.6,5
0.59,0.082,94,0.53,9.7,6
0.685,0.082,143,0.55,9.4,5
0.57,0.082,144,0.55,9.4,5
0.4,0.157,44,0.92,9.5,6
0.4,0.157,45,0.91,9.5,6
1,0.102,16,0.46,10,5
0.765,0.243,48,0.6,10.3,6
0.635,0.241,18,0.59,10.3,6
0.43,0.079,34,0.61,10.5,5
0.52,0.076,92,0.6,9.8,5
0.57,0.19,45,0.6,9.4,6
0.46,0.114,37,0.65,9.8,5
0.82,0.081,96,0.53,10,5
0.46,0.114,37,0.65,9.8,5
0.59,0.077,85,0.59,9.8,5
0.35,0.083,61,0.5,9.5,5
0.35,0.083,61,0.5,9.5,5
0.56,0.079,58,0.56,10.1,6
0.56,0.079,58,0.56,10.1,6
0.63,0.099,119,0.52,9.3,5
0.37,0.082,82,0.68,9.7,6
0.64,0.084,130,0.54,9.6,5
0.61,0.081,87,0.6,9.7,6
0.6,0.055,13,0.56,10.8,5
0.27,0.065,26,0.53,12.5,6
0.89,0.132,60,1.18,10.2,5
0.46,0.126,64,0.74,9.6,5
0.37,0.038,42,0.81,10.8,7
0.5,0.082,14,0.52,10.7,6
0.5,0.082,14,0.52,10.7,6
0.61,0.082,108,0.51,9.4,5
0.55,0.068,17,0.44,10,5
0.585,0.044,86,0.94,12.9,7
0.56,0.114,46,0.66,9.6,6
0.52,0.084,18,0.57,9.9,6
0.28,0.052,10,0.7,12.8,7
0.25,0.041,10,0.71,12.5,7
0.28,0.052,10,0.7,12.8,7
0.53,0.165,12,0.86,9.2,5
0.48,0.07,15,0.55,10.3,6
0.49,0.068,14,0.47,10.5,5
0.5,0.072,24,0.68,10.9,6
0.45,0.099,38,0.71,10.8,5
0.39,0.102,7,0.58,11.4,4
0.41,0.103,41,0.76,11.3,6
0.45,0.099,38,0.71,10.8,5
0.51,0.081,30,0.58,10.5,6
0.29,0.084,27,0.73,11.9,6
0.715,0.071,47,0.45,9.4,5
0.66,0.097,59,0.54,9.6,5
0.685,0.099,22,0.6,9.7,5
0.42,0.048,42,0.74,14,7
0.54,0.076,36,0.64,9.8,5
0.54,0.076,36,0.64,9.8,5
0.48,0.068,16,0.53,10.3,5
0.46,0.076,37,0.49,10.7,5
0.27,0.05,8,0.64,11,7
0.46,0.076,37,0.49,10.7,5
0.57,0.065,45,0.74,12.7,8
0.61,0.071,24,0.77,11.1,6
0.685,0.058,9,0.55,10.9,4
0.61,0.071,24,0.77,11.1,6
0.44,0.145,48,0.86,9.9,3
0.47,0.147,51,0.86,9.9,4
0.685,0.088,23,0.47,9.4,5
0.665,0.066,55,0.51,9.3,5
0.28,0.012,100,0.39,11.7,7
0.28,0.012,100,0.39,11.7,7
0.31,0.075,28,0.83,11.2,7
0.5,0.092,26,0.47,10,5
0.42,0.085,34,0.77,12.1,7
0.66,0.115,31,0.63,10.3,5
0.5,0.119,68,0.72,10.9,6
0.685,0.088,92,0.62,9.4,5
0.25,0.062,42,0.83,10.6,6
0.64,0.081,31,0.66,9.8,5
0.64,0.081,31,0.66,9.8,5
0.68,0.078,39,0.7,9.9,6
0.64,0.081,31,0.66,9.8,5
0.63,0.08,32,0.66,9.8,5
0.43,0.085,22,0.55,9.5,5
0.43,0.085,22,0.55,9.5,5
0.42,0.08,122,1.07,9.7,5
0.36,0.08,55,0.73,10.9,6
0.36,0.08,55,0.73,10.9,6
0.735,0.071,14,0.71,11.7,7
0.36,0.08,55,0.73,10.9,6
0.26,0.073,47,0.78,11.3,7
0.28,0.054,32,0.67,10.6,7
0.56,0.074,24,0.82,11.2,6
0.62,0.077,85,0.54,9.5,5
1.01,0.039,88,0.6,11.5,6
0.42,0.067,25,0.44,10.4,5
0.62,0.078,84,0.53,9.7,5
0.62,0.077,85,0.54,9.5,5
0.635,0.077,86,0.54,9.7,5
0.49,0.071,24,0.83,11.3,6
0.51,0.072,22,0.84,11.2,6
0.56,0.074,24,0.82,11.2,6
0.63,0.08,43,0.64,10.9,6
0.715,0.064,43,0.57,11.8,6
0.56,0.086,46,0.57,10.6,5
0.35,0.067,48,0.54,10,4
0.21,0.067,10,0.58,11.1,7
0.38,0.104,10,0.65,11.8,7
0.31,0.109,16,0.79,11.8,7
0.47,0.067,14,0.58,10.9,4
0.715,0.064,43,0.57,11.8,6
0.61,0.094,69,0.5,10,6
0.6,0.076,88,0.55,9.5,5
0.56,0.078,21,0.49,9.9,5
0.715,0.068,35,0.65,11.4,6
0.31,0.194,26,0.78,12,6
0.6,0.076,88,0.55,9.5,5
0.61,0.094,69,0.5,10,6
0.75,0.086,30,0.64,10.5,5
0.8,0.083,28,0.65,10.4,6
0.52,0.066,56,0.79,12.1,7
0.57,0.072,64,0.56,11.2,6
0.9,0.112,99,0.68,9.3,5
0.34,0.071,52,0.58,10.1,5
0.66,0.078,86,0.57,9.7,5
0.45,0.082,18,0.65,9.3,6
0.66,0.078,86,0.57,9.7,5
0.63,0.08,88,0.58,9.8,6
0.59,0.08,43,0.58,10.7,6
0.31,0.078,43,0.77,12.5,7
0.59,0.08,43,0.58,10.7,6
0.31,0.078,43,0.77,12.5,7
1.02,0.084,11,0.49,11,3
0.31,0.056,39,0.69,11.8,5
0.635,0.08,33,0.69,10.8,7
0.635,0.08,33,0.69,10.8,7
0.59,0.06,18,0.59,10.8,7
0.59,0.06,18,0.59,10.8,7
0.58,0.081,115,0.59,9.5,5
0.54,0.084,78,0.71,11,5
0.56,0.079,9,0.54,11.5,6
0.52,0.078,61,0.59,10.8,6
0.305,0.059,11,0.52,11.5,6
0.38,0.132,11,0.57,13.2,6
0.28,0.114,9,0.6,10.9,6
0.46,0.065,8,0.62,12.2,6
0.395,0.094,10,0.64,12.2,7
0.305,0.059,11,0.52,11.5,6
0.315,0.079,6,0.67,11.9,6
0.715,0.161,62,0.61,11,5
0.41,0.084,45,0.64,10.1,6
0.36,0.081,79,0.72,11,6
0.62,0.072,46,0.89,11.8,6
0.41,0.091,23,0.56,10.5,5
0.36,0.081,79,0.72,11,6
0.62,0.072,46,0.89,11.8,6
0.41,0.084,45,0.64,10.1,6
0.47,0.055,28,0.8,11.2,5
0.22,0.064,77,0.87,11,7
0.24,0.061,73,0.9,10.2,6
0.67,0.093,75,0.59,9.2,4
0.47,0.055,28,0.8,11.2,5
0.33,0.063,19,0.73,12,7
0.61,0.08,25,0.73,10.5,5
0.61,0.074,38,0.65,9.8,5
0.4,0.078,66,0.59,9.5,6
0.61,0.074,38,0.65,9.8,5
0.61,0.08,25,0.73,10.5,5
0.3,0.06,72,0.72,11.8,6
0.3,0.06,72,0.72,11.8,6
0.63,0.071,26,0.6,10.4,4
0.38,0.068,42,0.72,12.9,7
0.46,0.073,11,0.54,11.4,5
0.33,0.074,25,0.76,12.4,7
0.27,0.082,17,0.52,12.5,7
0.43,0.092,52,0.64,10,7
0.5,0.094,45,0.6,9.7,7
0.3,0.09,24,0.64,12.1,7
0.44,0.071,20,0.79,11.1,7
0.44,0.092,24,0.99,12,7
0.28,0.093,12,0.62,12.4,7
0.12,0.075,21,0.76,11.9,7
0.12,0.075,21,0.76,11.9,7
0.12,0.075,21,0.76,11.9,7
0.28,0.093,12,0.62,12.4,7
0.31,0.058,10,0.68,11.2,7
0.34,0.052,9,0.69,12.1,7
0.43,0.082,11,0.54,12.2,6
0.21,0.09,23,0.67,10.4,5
0.36,0.111,10,0.62,11.3,6
0.37,0.088,51,0.58,11.1,6
0.57,0.12,36,0.71,11.3,7
0.59,0.089,32,0.61,10,5
0.47,0.058,38,0.85,11.1,6
0.56,0.078,18,0.62,9.3,5
0.57,0.115,16,0.69,9.5,5
0.27,0.1,27,0.69,11.2,6
0.47,0.058,38,0.85,11.1,6
0.34,0.065,48,0.86,11,6
0.38,0.103,10,0.58,11.9,7
0.66,0.097,113,0.48,9.2,5
0.4,0.068,46,0.6,12.2,6
0.56,0.079,22,0.61,10.2,5
0.26,0.066,10,0.87,10.9,6
0.26,0.066,10,0.87,10.9,6
0.38,0.104,13,0.65,11.6,7
0.34,0.079,12,0.63,10.7,5
0.33,0.073,13,0.62,12.1,7
0.41,0.083,72,0.52,9.4,5
0.41,0.083,72,0.52,9.4,5
0.59,0.109,119,0.5,9.1,5
0.4,0.061,29,0.49,11.3,7
0.45,0.075,6,0.63,10.4,5
0.5,0.065,17,0.71,10.5,6
0.86,0.079,28,0.62,10,5
0.52,0.07,70,0.82,12.9,6
0.5,0.065,17,0.71,10.5,6
0.45,0.075,6,0.63,10.4,5
0.58,0.064,11,0.58,11.3,6
0.34,0.066,7,0.55,11.4,7
0.36,0.08,70,0.5,9.4,5
0.39,0.097,27,0.49,9.4,5
0.295,0.073,21,0.51,10.9,6
0.39,0.097,27,0.49,9.4,5
0.34,0.082,68,0.48,9.4,5
0.4,0.076,47,0.48,9.4,6
0.34,0.082,68,0.48,9.4,5
0.35,0.092,88,0.43,9.4,5
0.6,0.079,41,0.62,10.1,6
0.66,0.087,11,0.63,12.8,7
0.66,0.087,11,0.63,12.8,7
0.84,0.05,10,0.48,9.1,6
0.69,0.055,12,0.53,12.9,6
0.43,0.062,12,0.72,11.5,7
0.35,0.058,47,0.82,10.6,7
0.29,0.063,27,0.84,11.7,7
0.36,0.067,8,0.55,12.8,7
0.43,0.081,45,0.54,10.3,5
0.36,0.067,8,0.55,12.8,7
0.29,0.063,27,0.84,11.7,7
0.3,0.064,25,0.84,11.7,7
0.35,0.11,24,0.7,12,7
0.5,0.116,55,0.68,10.9,5
0.28,0.067,12,0.55,12.3,7
0.32,0.088,19,0.55,10.4,6
1.005,0.102,32,0.48,10,5
0.71,0.092,31,0.58,10,6
0.58,0.12,7,0.58,11.2,6
0.39,0.075,27,0.84,11.4,6
0.38,0.068,28,0.75,12.6,7
0.18,0.049,109,0.44,12.7,6
0.18,0.049,109,0.44,12.7,6
0.5,0.078,23,0.61,10.4,5
0.36,0.123,8,0.53,11.9,6
0.36,0.123,8,0.53,11.9,6
0.51,0.062,9,0.54,10.5,5
0.32,0.098,9,0.55,12.3,6
0.58,0.088,18,0.56,10.5,7
0.83,0.095,43,0.6,10.4,6
0.31,0.066,36,0.56,12.6,6
0.795,0.065,52,0.52,11.6,5
0.34,0.075,68,0.54,10.1,6
0.58,0.088,18,0.56,10.5,7
0.59,0.091,14,0.55,11.5,7
0.55,0.093,15,0.58,11,7
0.82,0.095,14,0.53,9.6,5
0.57,0.089,27,0.59,10.4,6
0.745,0.077,48,0.47,9.7,6
0.37,0.085,17,0.65,10.6,7
0.31,0.082,35,0.59,12.5,7
0.91,0.074,56,0.56,9.2,5
0.41,0.078,42,0.77,12.6,7
0.5,0.088,39,0.83,11.1,6
0.965,0.088,32,0.67,10.2,5
0.49,0.079,26,0.64,9.8,6
0.5,0.088,39,0.83,11.1,6
0.39,0.069,39,0.81,10.9,7
0.39,0.046,53,0.62,12.2,6
0.44,0.07,38,0.58,11.4,6
0.78,0.076,45,0.62,10.7,6
0.43,0.082,51,0.64,10.4,5
0.49,0.081,14,0.78,10.9,6
0.5,0.084,17,0.77,10.8,6
0.43,0.082,51,0.64,10.4,5
0.46,0.414,45,1.34,9.2,5
0.605,0.073,25,0.55,12.9,5
0.33,0.07,20,0.77,12.7,7
0.64,0.095,77,0.62,9.1,6
0.64,0.095,77,0.62,9.1,6
0.48,0.101,10,0.59,12.1,7
0.42,0.104,90,0.57,9.1,5
0.53,0.093,52,0.76,11.6,7
0.48,0.101,10,0.59,12.1,7
0.23,0.074,8,0.7,9.9,6
0.4,0.071,16,0.69,12.5,8
0.38,0.098,15,0.64,11.4,6
0.29,0.075,17,0.63,11.8,6
0.74,0.067,10,0.57,11.8,6
0.61,0.083,20,0.6,10.2,6
0.52,0.07,26,0.72,12.5,7
0.31,0.06,10,0.83,10.9,7
0.31,0.06,10,0.83,10.9,7
0.62,0.086,52,0.62,10.8,5
0.33,0.057,37,0.89,11.1,7
0.77,0.098,92,0.58,9.2,5
0.35,0.083,75,0.58,9.5,6
0.62,0.088,37,0.58,10.7,6
0.77,0.098,92,0.58,9.2,5
0.25,0.071,67,0.86,10.2,7
0.32,0.073,8,0.73,11.4,6
0.37,0.08,8,0.58,11,5
0.37,0.08,8,0.58,11,5
0.3,0.05,278,0.51,12.3,7
0.27,0.047,8,0.51,11.8,6
0.3,0.05,289,0.51,12.3,7
0.38,0.073,70,0.59,9.5,6
0.42,0.072,59,0.77,12,6
0.38,0.073,70,0.59,9.5,6
0.48,0.074,64,0.49,9.6,5
0.34,0.055,9,0.66,11.6,7
0.19,0.057,30,0.69,11.2,6
0.41,0.095,41,0.76,9.9,7
0.41,0.095,41,0.76,9.9,7
0.26,0.083,74,0.63,11.8,8
0.34,0.086,19,0.6,11.4,6
0.54,0.081,16,0.59,11.5,6
0.31,0.079,31,0.86,12,7
0.725,0.117,17,0.49,10.8,6
0.4,0.087,20,0.5,10.5,5
0.725,0.117,17,0.49,10.8,6
0.52,0.096,18,0.52,9.4,5
0.31,0.216,16,0.81,12.5,7
0.52,0.096,18,0.52,9.4,5
0.34,0.072,36,0.78,12.4,6
0.49,0.071,25,0.63,12,6
0.48,0.078,30,0.54,11.2,6
0.49,0.071,25,0.63,12,6
0.48,0.073,25,0.66,12.4,6
0.57,0.048,49,0.6,12.8,5
0.23,0.069,17,0.54,12.3,6
0.3,0.068,24,0.85,11.7,7
0.78,0.09,13,0.49,9.5,5
0.47,0.171,66,0.76,10.8,6
0.53,0.07,14,0.64,10,6
0.42,0.092,55,0.64,12.3,7
0.33,0.056,35,0.71,11,6
0.24,0.074,10,0.59,9.5,6
0.4,0.046,80,0.66,13.6,6
0.69,0.091,21,0.6,11.3,6
0.69,0.091,21,0.6,11.3,6
0.69,0.091,21,0.6,11.3,6
0.39,0.065,24,0.53,13.3,6
0.66,0.066,15,0.58,12.9,5
0.54,0.076,17,0.72,13.1,8
0.5,0.062,28,0.55,12.3,6
0.47,0.055,33,0.48,12.3,6
0.4,0.081,29,0.65,11.2,6
0.58,0.096,13,0.62,11.5,4
0.24,0.055,27,0.59,11.3,7
0.29,0.063,11,0.54,13.5,6
0.76,0.072,52,0.6,11.5,6
0.43,0.095,89,0.68,10,5
0.43,0.092,70,0.69,10.5,6
0.6,0.058,10,0.63,10.4,6
0.19,0.045,135,0.44,9.5,5
0.36,0.075,38,0.88,13.6,7
0.48,0.089,18,0.68,11.2,7
0.28,0.061,15,0.74,11.8,7
0.25,0.067,50,0.6,11.9,6
0.52,0.08,13,0.76,11.4,6
0.52,0.08,13,0.76,11.4,6
0.41,0.104,94,0.58,9.1,5
0.51,0.079,86,0.64,9.5,6
0.4,0.08,79,0.65,9.5,6
0.38,0.08,71,0.85,11,6
0.45,0.043,12,0.65,11.4,6
0.22,0.065,20,0.82,10,6
0.32,0.066,70,0.62,10.1,5
0.2,0.076,51,0.81,10.4,6
0.5,0.178,21,0.87,9.8,6
0.41,0.071,14,0.49,11.8,7
0.39,0.086,21,0.66,11.6,6
0.35,0.061,11,0.52,12,6
0.33,0.067,12,0.76,12.8,7
0.58,0.044,70,0.65,12.5,6
0.6,0.118,38,0.53,9.8,5
0.42,0.083,38,0.66,11.1,6
0.58,0.1,63,0.68,11.4,6
0.6,0.118,38,0.53,9.8,5
0.18,0.071,88,0.76,11.8,7
0.51,0.042,101,0.87,12.9,7
0.41,0.076,54,1.16,10.6,6
0.41,0.11,37,0.67,10.8,5
0.36,0.087,20,0.72,11.1,7
0.45,0.076,21,0.75,10.2,6
0.32,0.075,19,0.71,11.8,7
0.785,0.078,21,0.67,10,5
0.785,0.078,21,0.67,10,5
0.44,0.369,38,1.1,9.4,5
0.54,0.111,60,0.98,10.2,5
0.33,0.074,48,0.88,12.4,7
0.34,0.067,44,0.56,12,6
0.5,0.086,14,0.62,11.5,6
0.36,0.062,12,0.67,10.5,6
0.59,0.078,44,0.68,10.8,6
0.42,0.074,16,0.74,12.3,6
0.36,0.079,65,0.62,9.5,6
0.36,0.079,65,0.62,9.5,6
0.61,0.095,59,0.7,11.5,6
0.88,0.079,47,0.5,11.2,4
0.66,0.052,11,0.66,12.7,7
0.915,0.041,78,0.73,11.4,5
0.35,0.076,47,0.81,11,6
0.35,0.076,47,0.81,11,6
0.39,0.068,11,0.46,11.4,5
0.4,0.068,54,0.86,10.5,6
0.66,0.07,61,0.6,9.3,5
0.64,0.08,119,0.7,10.9,5
0.43,0.085,39,0.46,11.9,6
0.8,0.079,12,0.5,12.2,5
0.43,0.085,39,0.46,11.9,6
0.64,0.08,119,0.7,10.9,5
0.955,0.075,19,0.44,9.6,4
0.4,0.08,20,0.57,12.5,6
0.885,0.166,12,0.51,10.8,5
0.25,0.063,41,0.8,12.4,7
0.885,0.166,12,0.51,10.8,5
0.745,0.114,64,0.59,9.5,6
0.43,0.078,56,0.6,9.5,6
0.58,0.076,94,0.58,9.5,6
0.57,0.069,9,0.54,9.8,6
0.26,0.052,77,0.79,10.9,6
0.58,0.076,94,0.58,9.5,6
0.57,0.069,9,0.54,9.8,6
0.34,0.065,10,0.54,11.2,7
0.42,0.068,12,0.69,11.7,8
0.74,0.111,76,0.55,9.4,5
0.36,0.074,44,0.85,11,7
0.36,0.074,44,0.85,11,7
0.36,0.074,44,0.85,11,7
0.72,0.136,52,0.94,10,5
0.36,0.074,44,0.85,11,7
0.39,0.071,24,0.87,11.2,7
0.65,0.078,15,0.62,10.4,6
0.44,0.076,53,0.62,9.3,5
0.65,0.078,15,0.62,10.4,6
0.38,0.071,13,0.75,10.5,6
0.33,0.081,9,0.48,10.4,6
0.27,0.095,29,0.56,11.3,6
0.57,0.079,79,0.69,9.5,6
0.34,0.057,74,0.81,12,6
0.4,0.082,24,0.69,10.6,6
0.39,0.044,50,0.83,10.9,6
0.32,0.132,44,0.77,11.5,6
0.32,0.132,44,0.77,11.5,6
0.53,0.078,89,0.46,9.6,6
0.36,0.074,23,0.76,12,6
0.39,0.08,20,0.82,10.3,6
0.46,0.091,77,0.51,9.4,5
0.58,0.08,46,0.47,9.2,5
0.58,0.104,21,0.72,9.6,5
0.42,0.044,88,0.73,13.6,7
0.43,0.075,66,0.64,9.5,5
0.18,0.066,58,0.78,11.8,6
0.815,0.074,90,0.62,10.8,5
0.43,0.075,66,0.64,9.5,5
0.23,0.057,36,0.49,9.3,4
0.75,0.059,18,0.4,12.8,6
0.33,0.054,113,0.56,11.5,4
0.55,0.07,17,0.64,9.4,6
0.75,0.059,18,0.4,12.8,6
0.73,0.081,24,0.46,9.6,4
0.67,0.057,20,0.56,11.8,4
0.61,0.076,60,0.4,9.3,5
0.37,0.079,65,0.59,9.8,5
0.4,0.058,40,0.6,12.2,6
0.56,0.082,86,0.62,9.5,5
0.29,0.067,160,0.54,10.3,6
0.55,0.082,34,0.68,10.5,5
0.74,0.086,48,0.48,10,5
0.55,0.082,34,0.68,10.5,5
0.41,0.081,36,0.75,11.1,6
0.6,0.079,37,0.61,10.9,6
0.6,0.079,37,0.61,10.9,6
0.58,0.077,60,0.59,9.8,5
0.72,0.123,14,0.58,9.8,5
0.66,0.096,13,0.58,9.5,5
0.7,0.079,35,0.69,10.9,5
0.64,0.069,46,0.45,11,5
0.59,0.082,60,0.42,9.2,5
0.58,0.085,69,0.7,11,6
0.64,0.123,33,0.63,11.3,6
0.64,0.123,33,0.63,11.3,6
0.635,0.403,56,1.15,9.3,5
1.02,0.083,24,0.55,11.2,4
0.45,0.081,66,0.58,9.8,5
0.78,0.089,26,0.46,9.6,4
0.37,0.066,51,0.72,11.8,6
0.57,0.081,36,0.6,10.3,6
0.57,0.081,36,0.6,10.3,6
0.43,0.068,19,0.87,11.4,6
0.41,0.079,51,0.55,9.5,6
0.49,0.044,87,0.82,14,8
0.38,0.048,60,0.75,14,6
0.44,0.049,64,0.57,11.7,6
0.46,0.077,44,0.53,11.2,5
0.58,0.073,44,0.43,9.3,5
0.58,0.102,36,0.53,11.2,6
0.715,0.075,81,0.54,9.5,6
0.4,0.05,10,0.56,12,4
0.69,0.114,10,0.6,9.7,6
0.715,0.075,81,0.54,9.5,6
0.3,0.062,9,0.57,11.5,7
0.46,0.077,54,0.64,10.4,6
0.46,0.077,54,0.64,10.4,6
0.765,0.084,22,0.68,10.9,6
0.63,0.096,69,0.63,10.2,6
0.42,0.071,36,0.56,10.9,5
0.37,0.09,47,0.57,10.5,5
0.16,0.068,31,0.54,12.4,6
0.6,0.056,7,0.37,13,5
0.6,0.068,110,1.17,10.2,5
0.6,0.068,110,1.17,10.2,5
0.74,0.1,12,0.59,11,5
0.635,0.073,60,0.75,10.9,6
0.395,0.056,28,0.67,12.4,6
0.755,0.084,12,0.49,9.7,4
0.635,0.073,60,0.75,10.9,6
0.63,0.093,77.5,0.45,9.5,5
0.63,0.093,77.5,0.45,9.5,5
0.53,0.064,29,0.61,12.1,6
0.6,0.063,18,0.56,12.2,6
1.58,0.137,9,0.4,10.9,3
0.645,0.08,28,0.61,12.5,6
0.86,0.1,57,0.74,11.7,6
0.37,0.064,15,0.8,11.2,6
0.28,0.081,68,0.66,11.2,5
0.79,0.087,68,0.44,9.2,5
0.61,0.073,88,0.53,9.8,5
0.69,0.088,91,0.62,10.1,5
0.68,0.068,29,0.52,11.1,4
0.69,0.088,91,0.62,10.1,5
0.62,0.071,63,0.61,9.2,5
0.61,0.073,88,0.53,9.8,5
0.51,0.064,27,0.59,12.8,6
1.18,0.083,41,0.47,10.5,5
0.36,0.086,65,0.54,10.1,6
0.36,0.086,69,0.53,10.1,6
0.63,0.083,91,0.58,9.8,6
0.74,0.041,46,0.59,12.5,6
0.44,0.091,41,0.69,11.9,6
0.63,0.083,91,0.58,9.8,6
0.76,0.414,64,1.33,9.1,6
0.66,0.094,88,0.66,10.1,5
0.74,0.041,46,0.59,12.5,6
0.34,0.058,18,0.55,11.4,5
0.36,0.06,55,0.82,11,7
0.46,0.077,34,0.6,10.6,6
0.46,0.077,34,0.6,10.6,6
0.46,0.077,34,0.6,10.6,6
0.46,0.077,34,0.6,10.6,6
0.52,0.073,38,0.52,9.3,5
0.6,0.083,91,0.56,9.8,6
0.6,0.083,91,0.56,9.8,6
0.87,0.107,67,0.46,9.2,5
0.39,0.075,25,0.43,9.7,6
0.775,0.079,48,0.51,9.6,5
0.835,0.166,11,0.52,10,5
0.58,0.069,40,0.66,12.6,6
0.5,0.057,26,0.45,9.5,5
0.5,0.057,26,0.45,9.5,5
0.5,0.057,26,0.45,9.5,5
0.51,0.084,31,0.54,10.5,6
0.51,0.084,31,0.54,10.5,6
0.51,0.084,31,0.54,10.5,6
0.54,0.085,31,0.51,10.4,6
0.51,0.084,31,0.54,10.5,6
0.42,0.077,20,0.53,11,5
0.44,0.063,28,0.53,10.2,6
0.59,0.056,13,0.56,11.4,5
0.655,0.078,12,0.39,9.5,5
0.655,0.078,12,0.39,9.5,5
0.57,0.081,41,0.52,10.8,5
0.6,0.069,73,0.57,10,5
0.62,0.065,46,0.51,11.8,6
0.645,0.086,57,0.46,10.3,5
0.645,0.086,57,0.46,10.3,5
0.58,0.077,28,0.52,10,5
0.32,0.086,32,0.44,10.1,5
0.34,0.084,28,0.44,10.1,5
0.43,0.078,67,0.59,11.1,6
0.64,0.168,98,0.5,9.5,5
0.475,0.091,28,0.65,10.0333333333333,6
0.54,0.112,38,0.56,10.9,5
0.85,0.093,54,0.54,10.1,5
0.475,0.091,28,0.65,10.0333333333333,6
0.83,0.08,63,0.48,9.8,4
0.605,0.096,31,0.53,11.8,6
0.5,0.115,42,0.62,9.5,5
0.74,0.094,45,0.5,9.8,5
0.54,0.088,105,1.18,10.5,6
0.77,0.079,74,0.5,9.8,6
0.61,0.069,8,0.37,10.4,4
0.78,0.415,66,1.17,9.2,5
0.58,0.153,14,1.03,11.6,6
0.78,0.415,66,1.17,9.2,5
0.75,0.11,89,0.45,9.3,5
0.815,0.267,29,0.51,9.8,3
0.56,0.083,100,0.52,9.9,5
0.885,0.086,31,0.46,10,5
0.49,0.09,74,0.62,12.2,6
0.45,0.078,28,0.51,9.9,6
0.57,0.077,35,0.62,10.8,6
0.57,0.077,35,0.62,10.8,6
0.83,0.074,25,0.45,9.6,5
0.6,0.08,105,0.49,9.9,5
0.6,0.08,105,0.49,9.9,5
0.755,0.107,84,0.5,9.5,5
0.81,0.076,85,0.42,9.2,5
0.64,0.1,23,0.58,9.6,5
0.64,0.1,23,0.58,9.6,5
0.64,0.083,49,0.68,10.3,5
0.48,0.08,111,0.53,9.7,5
0.49,0.068,33,0.59,12.5,6
0.64,0.094,33,0.58,11,5
0.62,0.07,12,0.48,9.8,5
0.52,0.078,59,0.48,10.2,5
0.57,0.07,73,0.48,9.2,5
0.685,0.092,12,0.65,9.55,6
0.675,0.09,11,0.65,9.55,5
0.59,0.08,104,0.52,9.9,5
0.6,0.083,28,0.62,10.2,7
0.67,0.068,24,0.72,11.1,6
0.69,0.08,141,0.51,9.9,5
0.69,0.08,141,0.51,9.9,5
0.3,0.052,24,0.82,11.9,6
0.33,0.061,13,1.1,10,8
0.5,0.082,46,0.62,10.7,6
0.28,0.062,34,0.9,11.3,7
0.24,0.062,22,0.94,10.9,6
0.51,0.064,54,0.93,10.7,6
0.29,0.048,53,1.01,12.4,7
